h_AGL,w_cossin,w_shear,w_power,w_mil,h_AGL
586.5865866,16.18407805,9.09305971,6.881472607,10,586.5865866
588.5885886,16.01836264,9.097569866,6.886163459,10,588.5885886
590.5905906,15.85153016,9.102064708,6.890841563,10,590.5905906
592.5925926,15.68362186,9.106544339,6.895506999,10,592.5925926
594.5945946,15.51467924,9.111008861,6.900159841,10,594.5945946
596.5965966,15.34474407,9.115458377,6.904800168,10,596.5965966
598.5985986,15.17385838,9.119892986,6.909428055,10,598.5985986
600.6006006,15.00206439,9.124312789,6.914043575,10,600.6006006
602.6026026,14.8294046,9.128717883,6.918646804,10,602.6026026
604.6046046,14.65592168,9.133108367,6.923237815,10,604.6046046
606.6066066,14.48165852,9.137484337,6.92781668,10,606.6066066
608.6086086,14.30665821,9.141845888,6.932383471,10,608.6086086
610.6106106,14.13096401,9.146193116,6.93693826,10,610.6106106
612.6126126,13.95461936,9.150526114,6.941481118,10,612.6126126
614.6146146,13.77766785,9.154844974,6.946012115,10,614.6146146
616.6166166,13.60015324,9.15914979,6.95053132,10,616.6166166
618.6186186,13.42211941,9.163440652,6.955038802,10,618.6186186
620.6206206,13.24361038,9.167717649,6.959534629,10,620.6206206
622.6226226,13.06467028,9.171980872,6.964018869,10,622.6226226
624.6246246,12.88534334,9.176230409,6.968491589,10,624.6246246
626.6266266,12.7056739,9.180466348,6.972952855,10,626.6266266
628.6286286,12.52570639,9.184688775,6.977402733,10,628.6286286
630.6306306,12.3454853,9.188897775,6.981841288,10,630.6306306
632.6326326,12.16505517,9.193093435,6.986268584,10,632.6326326
634.6346346,11.98446062,9.197275839,6.990684687,10,634.6346346
636.6366366,11.8037463,9.20144507,6.995089659,10,636.6366366
638.6386386,11.62295689,9.20560121,6.999483563,10,638.6386386
640.6406406,11.44213708,9.209744342,7.003866461,10,640.6406406
642.6426426,11.26133157,9.213874547,7.008238416,10,642.6426426
644.6446446,11.08058507,9.217991906,7.012599489,10,644.6446446
646.6466466,10.89994226,9.222096497,7.01694974,10,646.6466466
648.6486486,10.7194478,9.2261884,7.02128923,10,648.6486486
650.6506507,10.53914632,9.230267694,7.025618018,10,650.6506507
652.6526527,10.35908238,9.234334455,7.029936164,10,652.6526527
654.6546547,10.17930052,9.23838876,7.034243726,10,654.6546547
656.6566567,9.999845171,9.242430686,7.038540763,10,656.6566567
658.6586587,9.820760705,9.246460307,7.042827332,10,658.6586587
660.6606607,9.642091396,9.250477699,7.04710349,10,660.6606607
662.6626627,9.463881417,9.254482935,7.051369294,10,662.6626627
664.6646647,9.286174825,9.25847609,7.055624801,10,664.6646647
666.6666667,9.109015556,9.262457235,7.059870065,10,666.6666667
668.6686687,8.932447408,9.266426442,7.064105143,10,668.6686687
670.6706707,8.756514034,9.270383783,7.06833009,10,670.6706707
