h_AGL,a_m_s2,rho_kg_m3,p_kg_m_s2,T_k
337.688442211055,338.995422462189,1.1857763268899,97333.5152441304,285.955025125628
343.718592964824,338.972188540853,1.18508475233405,97263.4141255433,285.915829145729
349.748743718593,338.948953026903,1.18439348639088,97193.3538944919,285.876633165829
355.778894472362,338.92571592001,1.18370252896495,97123.3345327289,285.83743718593
361.809045226131,338.902477219847,1.18301187996087,97053.3560220129,285.79824120603
367.8391959799,338.879236926087,1.18232153928321,96983.4183441079,285.759045226131
373.869346733668,338.855995038401,1.18163150683661,96913.5214807837,285.719849246231
379.899497487437,338.832751556461,1.18094178252569,96843.6654138157,285.680653266332
385.929648241206,338.80950647994,1.18025236625511,96773.8501249848,285.641457286432
391.959798994975,338.786259808509,1.17956325792952,96704.0755960779,285.602261306533
397.989949748744,338.763011541839,1.17887445745362,96634.3418088873,285.563065326633
404.020100502513,338.739761679603,1.1781859647321,96564.6487452107,285.523869346734
410.050251256281,338.716510221471,1.17749777966968,96494.996386852,285.484673366834
416.08040201005,338.693257167115,1.17680990217109,96425.3847156202,285.445477386935
422.110552763819,338.670002516207,1.17612233214107,96355.8137133303,285.406281407035
428.140703517588,338.646746268417,1.1754350694844,96286.2833618025,285.367085427136
434.170854271357,338.623488423416,1.17474811410585,96216.7936428633,285.327889447236
440.201005025126,338.600228980875,1.17406146591023,96147.3445383442,285.288693467337
446.231155778894,338.576967940465,1.17337512480233,96077.9360300826,285.249497487437
452.261306532663,338.553705301857,1.17268909068701,96008.5680999217,285.210301507538
458.291457286432,338.530441064721,1.1720033634691,95939.2407297098,285.171105527638
464.321608040201,338.507175228727,1.17131794305346,95869.9539013013,285.131909547739
470.35175879397,338.483907793547,1.17063282934498,95800.7075965562,285.092713567839
476.381909547739,338.460638758849,1.16994802224855,95731.50179734,285.05351758794
482.412060301508,338.437368124304,1.16926352166909,95662.3364855236,285.01432160804
488.442211055276,338.414095889583,1.16857932751152,95593.211642984,284.975125628141
494.472361809045,338.390822054354,1.16789543968079,95524.1272516035,284.935929648241
500.502512562814,338.367546618288,1.16721185808186,95455.08329327,284.896733668342
506.532663316583,338.344269581054,1.16652858261971,95386.0797498771,284.857537688442
512.562814070352,338.320990942322,1.16584561319933,95317.1166033243,284.818341708543
